JOBID=28562
Size, Timepoint Index, Time
2K, End, 65, 1.2533e-05
2K, End, 66, 1.2822e-05
2K, End, 67, 1.2373e-05
2K, End, 68, 1.2637e-05
2K, End, 69, 1.2869e-05
2K, End, 70, 1.2368e-05
2K, End, 71, 1.2355e-05
2K, End, 72, 1.2483e-05
2K, End, 73, 1.2824e-05
2K, End, 74, 1.2842e-05
2K, End, 75, 1.5239e-05
2K, End, 76, 1.26e-05
2K, End, 77, 1.2766e-05
2K, End, 78, 1.2652e-05
2K, End, 79, 1.2155e-05
2K, End, 80, 1.2898e-05
2K, End, 81, 1.2683e-05
2K, End, 82, 1.2641e-05
2K, End, 83, 1.2346e-05
2K, End, 84, 1.2602e-05
2K, End, 85, 1.2821e-05
2K, End, 86, 1.2324e-05
2K, End, 87, 1.2286e-05
2K, End, 88, 1.296e-05
2K, End, 89, 1.2507e-05
2K, End, 90, 1.2634e-05
2K, End, 91, 1.3114e-05
2K, End, 92, 1.2617e-05
2K, End, 93, 1.273e-05
2K, End, 94, 1.2371e-05
2K, End, 95, 1.244e-05
2K, End, 96, 1.2593e-05
2K, End, 97, 1.2334e-05
2K, End, 98, 1.2548e-05
2K, End, 99, 1.2522e-05
2K, End, 100, 1.2797e-05
4K, End, 1, 1.4943e-05
4K, End, 2, 1.4776e-05
4K, End, 3, 1.4737e-05
4K, End, 4, 1.421e-05
4K, End, 5, 1.4871e-05
4K, End, 6, 1.5097e-05
4K, End, 7, 1.4731e-05
4K, End, 8, 1.4694e-05
4K, End, 9, 1.4474e-05
4K, End, 10, 1.4557e-05
4K, End, 11, 1.4933e-05
4K, End, 12, 1.4736e-05
4K, End, 13, 1.5309e-05
4K, End, 14, 1.4643e-05
4K, End, 15, 1.4724e-05
4K, End, 16, 1.4964e-05
4K, End, 17, 1.4306e-05
4K, End, 18, 1.4539e-05
4K, End, 19, 1.4443e-05
4K, End, 20, 1.4799e-05
4K, End, 21, 1.4836e-05
4K, End, 22, 2.668e-05
4K, End, 23, 1.4537e-05
4K, End, 24, 1.4645e-05
4K, End, 25, 1.4308e-05
4K, End, 26, 1.47e-05
4K, End, 27, 1.4786e-05
4K, End, 28, 1.5246e-05
4K, End, 29, 1.4987e-05
4K, End, 30, 1.4536e-05
4K, End, 31, 1.4847e-05
4K, End, 32, 2.1079e-05
4K, End, 33, 1.4652e-05
4K, End, 34, 1.555e-05
4K, End, 35, 1.4857e-05
4K, End, 36, 2.1045e-05
4K, End, 37, 1.4118e-05
4K, End, 38, 1.4069e-05
4K, End, 39, 1.3964e-05
4K, End, 40, 1.4585e-05
4K, End, 41, 1.5348e-05
4K, End, 42, 1.3692e-05
4K, End, 43, 1.4661e-05
4K, End, 44, 1.4116e-05
4K, End, 45, 1.3928e-05
4K, End, 46, 1.4362e-05
4K, End, 47, 1.384e-05
4K, End, 48, 1.3971e-05
4K, End, 49, 1.4152e-05
4K, End, 50, 1.4955e-05
4K, End, 51, 1.4601e-05
4K, End, 52, 1.3782e-05
4K, End, 53, 1.3637e-05
4K, End, 54, 1.4248e-05
4K, End, 55, 1.401e-05
4K, End, 56, 1.488e-05
4K, End, 57, 1.4387e-05
4K, End, 58, 1.3776e-05
4K, End, 59, 1.4413e-05
4K, End, 60, 1.3716e-05
4K, End, 61, 1.3865e-05
4K, End, 62, 1.4449e-05
4K, End, 63, 1.4467e-05
4K, End, 64, 3.1173e-05
4K, End, 65, 1.3551e-05
4K, End, 66, 1.3282e-05
4K, End, 67, 1.331e-05
4K, End, 68, 1.3232e-05
4K, End, 69, 1.3109e-05
4K, End, 70, 1.3628e-05
4K, End, 71, 1.3683e-05
4K, End, 72, 1.2819e-05
4K, End, 73, 1.3218e-05
4K, End, 74, 1.3255e-05
4K, End, 75, 1.3712e-05
4K, End, 76, 1.505e-05
4K, End, 77, 1.3616e-05
4K, End, 78, 1.3009e-05
4K, End, 79, 1.3055e-05
4K, End, 80, 1.3443e-05
4K, End, 81, 1.2896e-05
4K, End, 82, 1.3842e-05
4K, End, 83, 1.2967e-05
4K, End, 84, 1.2524e-05
4K, End, 85, 1.3615e-05
4K, End, 86, 1.3318e-05
4K, End, 87, 1.4732e-05
4K, End, 88, 1.3499e-05
4K, End, 89, 1.3077e-05
4K, End, 90, 1.2994e-05
4K, End, 91, 1.3463e-05
4K, End, 92, 1.2884e-05
4K, End, 93, 1.3847e-05
4K, End, 94, 1.3024e-05
4K, End, 95, 1.3674e-05
4K, End, 96, 1.3053e-05
4K, End, 97, 1.2956e-05
4K, End, 98, 1.304e-05
4K, End, 99, 1.3583e-05
4K, End, 100, 1.6347e-05
8K, End, 1, 1.7911e-05
8K, End, 2, 1.7768e-05
8K, End, 3, 1.8187e-05
8K, End, 4, 1.7825e-05
8K, End, 5, 1.7895e-05
8K, End, 6, 1.7977e-05
8K, End, 7, 1.8378e-05
8K, End, 8, 1.7483e-05
8K, End, 9, 1.7966e-05
8K, End, 10, 1.7856e-05
8K, End, 11, 1.785e-05
