JOBID=28550
Size, Index, Time
4K, End, 15, 0.180914
4K, End, 16, 0.180933
4K, End, 17, 0.180928
4K, End, 18, 0.180945
4K, End, 19, 0.180924
4K, End, 20, 0.181252
4K, End, 21, 0.180966
4K, End, 22, 0.18099
4K, End, 23, 0.180947
4K, End, 24, 0.180962
4K, End, 25, 0.180933
4K, End, 26, 0.180981
4K, End, 27, 0.180948
4K, End, 28, 0.180941
4K, End, 29, 0.180937
4K, End, 30, 0.180958
4K, End, 31, 0.181249
4K, End, 32, 0.180944
4K, End, 33, 0.180925
4K, End, 34, 0.180948
4K, End, 35, 0.180904
4K, End, 36, 0.180913
4K, End, 37, 0.180923
4K, End, 38, 0.18093
4K, End, 39, 0.180944
4K, End, 40, 0.180943
4K, End, 41, 0.180938
4K, End, 42, 0.180999
4K, End, 43, 0.180956
4K, End, 44, 0.181231
4K, End, 45, 0.180955
4K, End, 46, 0.180921
4K, End, 47, 0.18092
4K, End, 48, 0.180941
4K, End, 49, 0.180937
4K, End, 50, 0.180947
4K, End, 51, 0.180905
4K, End, 52, 0.180922
4K, End, 53, 0.180965
4K, End, 54, 0.180938
4K, End, 55, 0.18096
4K, End, 56, 0.180911
4K, End, 57, 0.180933
4K, End, 58, 0.180884
4K, End, 59, 0.180908
4K, End, 60, 0.18095
4K, End, 61, 0.18128
4K, End, 62, 0.180921
4K, End, 63, 0.180901
4K, End, 64, 0.180906
4K, End, 65, 0.180918
4K, End, 66, 0.180935
4K, End, 67, 0.180907
4K, End, 68, 0.180927
4K, End, 69, 0.180951
4K, End, 70, 0.180951
4K, End, 71, 0.180959
4K, End, 72, 0.180911
4K, End, 73, 0.180912
4K, End, 74, 0.180915
4K, End, 75, 0.180927
4K, End, 76, 0.180938
4K, End, 77, 0.180937
4K, End, 78, 0.180935
4K, End, 79, 0.180931
4K, End, 80, 0.180932
4K, End, 81, 0.18094
4K, End, 82, 0.180968
4K, End, 83, 0.180931
4K, End, 84, 0.181187
4K, End, 85, 0.180959
4K, End, 86, 0.180946
4K, End, 87, 0.18093
4K, End, 88, 0.18094
4K, End, 89, 0.180916
4K, End, 90, 0.180939
4K, End, 91, 0.180942
4K, End, 92, 0.180936
4K, End, 93, 0.180925
4K, End, 94, 0.180938
4K, End, 95, 0.180963
4K, End, 96, 0.180927
4K, End, 97, 0.180932
4K, End, 98, 0.180916
4K, End, 99, 0.180923
4K, End, 100, 0.180936
8K, End, 1, 0.365082
8K, End, 2, 0.365298
8K, End, 3, 0.365067
8K, End, 4, 0.365121
8K, End, 5, 0.365202
8K, End, 6, 0.365265
8K, End, 7, 0.365061
8K, End, 8, 0.364932
8K, End, 9, 0.364934
8K, End, 10, 0.365059
8K, End, 11, 0.365144
8K, End, 12, 0.364958
8K, End, 13, 0.365062
8K, End, 14, 0.365035
8K, End, 15, 0.364991
8K, End, 16, 0.364942
8K, End, 17, 0.365041
8K, End, 18, 0.365173
8K, End, 19, 0.364932
8K, End, 20, 0.364907
8K, End, 21, 0.364922
8K, End, 22, 0.364924
8K, End, 23, 0.364967
8K, End, 24, 0.36498
8K, End, 25, 0.364915
8K, End, 26, 0.365134
8K, End, 27, 0.364968
8K, End, 28, 0.364906
8K, End, 29, 0.364959
8K, End, 30, 0.364868
8K, End, 31, 0.365031
8K, End, 32, 0.364847
8K, End, 33, 0.364892
8K, End, 34, 0.364913
8K, End, 35, 0.364936
8K, End, 36, 0.364892
8K, End, 37, 0.365149
8K, End, 38, 0.364848
8K, End, 39, 0.364912
8K, End, 40, 0.36489
8K, End, 41, 0.364908
8K, End, 42, 0.364916
8K, End, 43, 0.364889
8K, End, 44, 0.364907
8K, End, 45, 0.364941
8K, End, 46, 0.365013
8K, End, 47, 0.365021
8K, End, 48, 0.365095
8K, End, 49, 0.365011
8K, End, 50, 0.364986
8K, End, 51, 0.365117
8K, End, 52, 0.365081
8K, End, 53, 0.364903
8K, End, 54, 0.364884
8K, End, 55, 0.365011
8K, End, 56, 0.36501
8K, End, 57, 0.365007
8K, End, 58, 0.364924
8K, End, 59, 0.364901
8K, End, 60, 0.364877
8K, End, 61, 0.364876
8K, End, 62, 0.36484
8K, End, 63, 0.364872
8K, End, 64, 0.364889
8K, End, 65, 0.364906
8K, End, 66, 0.364893
8K, End, 67, 0.364822
8K, End, 68, 0.364906
8K, End, 69, 0.36485
8K, End, 70, 0.365173
8K, End, 71, 0.3649
8K, End, 72, 0.364951
8K, End, 73, 0.364924
8K, End, 74, 0.364956
8K, End, 75, 0.364957
8K, End, 76, 0.364919
8K, End, 77, 0.364962
8K, End, 78, 0.364921
8K, End, 79, 0.364936
8K, End, 80, 0.364912
8K, End, 81, 0.364884
8K, End, 82, 0.364968
8K, End, 83, 0.365041
8K, End, 84, 0.364993
8K, End, 85, 0.364889
8K, End, 86, 0.36495
8K, End, 87, 0.364889
8K, End, 88, 0.365054
8K, End, 89, 0.364998
8K, End, 90, 0.364832
8K, End, 91, 0.364813
8K, End, 92, 0.364829
8K, End, 93, 0.36488
8K, End, 94, 0.364807
8K, End, 95, 0.364844
8K, End, 96, 0.364867
8K, End, 97, 0.364836
8K, End, 98, 0.364843
8K, End, 99, 0.364876
8K, End, 100, 0.364875
16K, End, 1, 0.723825
16K, End, 2, 0.723464
16K, End, 3, 0.723569
16K, End, 4, 0.723856
16K, End, 5, 0.723545
16K, End, 6, 0.72352
16K, End, 7, 0.7236
16K, End, 8, 0.723768
16K, End, 9, 0.72348
16K, End, 10, 0.723466
16K, End, 11, 0.723437
16K, End, 12, 0.723423
16K, End, 13, 0.723478
16K, End, 14, 0.723852
16K, End, 15, 0.723658
16K, End, 16, 0.723499
16K, End, 17, 0.723476
16K, End, 18, 0.723411
16K, End, 19, 0.723503
16K, End, 20, 0.723491
16K, End, 21, 0.723705
16K, End, 22, 0.723448
16K, End, 23, 0.723547
16K, End, 24, 0.723485
16K, End, 25, 0.723483
16K, End, 26, 0.723437
16K, End, 27, 0.723447
16K, End, 28, 0.723447
16K, End, 29, 0.723858
16K, End, 30, 0.724003
16K, End, 31, 0.723656
16K, End, 32, 0.723661
16K, End, 33, 0.723537
16K, End, 34, 0.723491
16K, End, 35, 0.723528
16K, End, 36, 0.723577
16K, End, 37, 0.723551
16K, End, 38, 0.723493
16K, End, 39, 0.723643
16K, End, 40, 0.724183
16K, End, 41, 0.72383
16K, End, 42, 0.723873
16K, End, 43, 0.723711
16K, End, 44, 0.723689
16K, End, 45, 0.72367
16K, End, 46, 0.723623
16K, End, 47, 0.723697
16K, End, 48, 0.723621
16K, End, 49, 0.7239
16K, End, 50, 0.723593
16K, End, 51, 0.723595
16K, End, 52, 0.723583
16K, End, 53, 0.723568
16K, End, 54, 0.72357
16K, End, 55, 0.723615
16K, End, 56, 0.723577
16K, End, 57, 0.723729
16K, End, 58, 0.723913
16K, End, 59, 0.72354
16K, End, 60, 0.723532
16K, End, 61, 0.723516
16K, End, 62, 0.723448
16K, End, 63, 0.723443
16K, End, 64, 0.723503
16K, End, 65, 0.723446
16K, End, 66, 0.72337
16K, End, 67, 0.723825
16K, End, 68, 0.723413
16K, End, 69, 0.723449
16K, End, 70, 0.723362
16K, End, 71, 0.723453
16K, End, 72, 0.723448
16K, End, 73, 0.723464
16K, End, 74, 0.723458
16K, End, 75, 0.723461
16K, End, 76, 0.72344
16K, End, 77, 0.723895
16K, End, 78, 0.723468
16K, End, 79, 0.723453
16K, End, 80, 0.723537
16K, End, 81, 0.723524
16K, End, 82, 0.723445
16K, End, 83, 0.723477
16K, End, 84, 0.723394
16K, End, 85, 0.723431
16K, End, 86, 0.723875
16K, End, 87, 0.723445
16K, End, 88, 0.723357
16K, End, 89, 0.723467
16K, End, 90, 0.723438
16K, End, 91, 0.723491
16K, End, 92, 0.723476
16K, End, 93, 0.723513
16K, End, 94, 0.723437
16K, End, 95, 0.723852
16K, End, 96, 0.723425
16K, End, 97, 0.723522
16K, End, 98, 0.723527
16K, End, 99, 0.723628
16K, End, 100, 0.723514
32K, End, 1, 1.45993
32K, End, 2, 1.46013
32K, End, 3, 1.45988
32K, End, 4, 1.45978
32K, End, 5, 1.45983
32K, End, 6, 1.46013
32K, End, 7, 1.45984
32K, End, 8, 1.45991
32K, End, 9, 1.45985
32K, End, 10, 1.46022
32K, End, 11, 1.45986
32K, End, 12, 1.45975
32K, End, 13, 1.45992
32K, End, 14, 1.45995
32K, End, 15, 1.46025
32K, End, 16, 1.45988
32K, End, 17, 1.45986
32K, End, 18, 1.45991
32K, End, 19, 1.45992
32K, End, 20, 1.45994
32K, End, 21, 1.45983
32K, End, 22, 1.45981
32K, End, 23, 1.45972
32K, End, 24, 1.46008
32K, End, 25, 1.45984
32K, End, 26, 1.45984
32K, End, 27, 1.45988
32K, End, 28, 1.45953
32K, End, 29, 1.46009
32K, End, 30, 1.45976
32K, End, 31, 1.45978
32K, End, 32, 1.45984
32K, End, 33, 1.4602
32K, End, 34, 1.46001
32K, End, 35, 1.45989
32K, End, 36, 1.45965
32K, End, 37, 1.45967
32K, End, 38, 1.46012
32K, End, 39, 1.45979
32K, End, 40, 1.4599
32K, End, 41, 1.45975
32K, End, 42, 1.46021
32K, End, 43, 1.45988
32K, End, 44, 1.4597
32K, End, 45, 1.45964
32K, End, 46, 1.4596
32K, End, 47, 1.46016
32K, End, 48, 1.45978
32K, End, 49, 1.4598
32K, End, 50, 1.45984
32K, End, 51, 1.46006
32K, End, 52, 1.45989
32K, End, 53, 1.45962
32K, End, 54, 1.4599
32K, End, 55, 1.45987
32K, End, 56, 1.46025
32K, End, 57, 1.45977
32K, End, 58, 1.45987
32K, End, 59, 1.45994
32K, End, 60, 1.45993
32K, End, 61, 1.46009
32K, End, 62, 1.45982
32K, End, 63, 1.45977
32K, End, 64, 1.45993
32K, End, 65, 1.46012
32K, End, 66, 1.45992
32K, End, 67, 1.45981
32K, End, 68, 1.45997
32K, End, 69, 1.45969
32K, End, 70, 1.46024
32K, End, 71, 1.45983
32K, End, 72, 1.45986
32K, End, 73, 1.45974
32K, End, 74, 1.46022
32K, End, 75, 1.45987
32K, End, 76, 1.45988
32K, End, 77, 1.4598
32K, End, 78, 1.45967
32K, End, 79, 1.46025
32K, End, 80, 1.45982
32K, End, 81, 1.45963
32K, End, 82, 1.45975
32K, End, 83, 1.46007
32K, End, 84, 1.46015
32K, End, 85, 1.4599
32K, End, 86, 1.45992
32K, End, 87, 1.45981
32K, End, 88, 1.4603
32K, End, 89, 1.45987
32K, End, 90, 1.46002
32K, End, 91, 1.45993
32K, End, 92, 1.46009
32K, End, 93, 1.46036
32K, End, 94, 1.46008
32K, End, 95, 1.45978
32K, End, 96, 1.45991
32K, End, 97, 1.46048
32K, End, 98, 1.45995
32K, End, 99, 1.4599
32K, End, 100, 1.46017
