JOBID=28552
Size, Timepoint, Index, Time
2K, End, 87, 0.0500446
2K, End, 88, 0.0500309
2K, End, 89, 0.0500437
2K, End, 90, 0.0500423
2K, End, 91, 0.0500711
2K, End, 92, 0.050085
2K, End, 93, 0.0500386
2K, End, 94, 0.0500469
2K, End, 95, 0.0500605
2K, End, 96, 0.0500492
2K, End, 97, 0.0500677
2K, End, 98, 0.050073
2K, End, 99, 0.0501956
2K, End, 100, 0.0500624
4K, End, 1, 0.0993393
4K, End, 2, 0.0993499
4K, End, 3, 0.0993193
4K, End, 4, 0.0994392
4K, End, 5, 0.0990293
4K, End, 6, 0.0993272
4K, End, 7, 0.0993366
4K, End, 8, 0.0992958
4K, End, 9, 0.0993124
4K, End, 10, 0.09936
4K, End, 11, 0.0992929
4K, End, 12, 0.0993105
4K, End, 13, 0.0993233
4K, End, 14, 0.0993351
4K, End, 15, 0.0993132
4K, End, 16, 0.0993303
4K, End, 17, 0.0993341
4K, End, 18, 0.0993194
4K, End, 19, 0.099298
4K, End, 20, 0.0991788
4K, End, 21, 0.0993177
4K, End, 22, 0.0993313
4K, End, 23, 0.0993229
4K, End, 24, 0.0993389
4K, End, 25, 0.0992998
4K, End, 26, 0.0993237
4K, End, 27, 0.099322
4K, End, 28, 0.0993098
4K, End, 29, 0.0993128
4K, End, 30, 0.0993284
4K, End, 31, 0.0992117
4K, End, 32, 0.099311
4K, End, 33, 0.0993071
4K, End, 34, 0.0993075
4K, End, 35, 0.0993196
4K, End, 36, 0.0993063
4K, End, 37, 0.0993474
4K, End, 38, 0.0993198
4K, End, 39, 0.099327
4K, End, 40, 0.0993286
4K, End, 41, 0.0993481
4K, End, 42, 0.0993303
4K, End, 43, 0.0993147
4K, End, 44, 0.0993098
4K, End, 45, 0.0993153
4K, End, 46, 0.0993233
4K, End, 47, 0.0993328
4K, End, 48, 0.0993318
4K, End, 49, 0.0993108
4K, End, 50, 0.0993232
4K, End, 51, 0.0993282
4K, End, 52, 0.0993561
4K, End, 53, 0.0993168
4K, End, 54, 0.0993159
4K, End, 55, 0.0993523
4K, End, 56, 0.0993168
4K, End, 57, 0.0992937
4K, End, 58, 0.0993126
4K, End, 59, 0.0993758
4K, End, 60, 0.0993271
4K, End, 61, 0.0993361
4K, End, 62, 0.0993279
4K, End, 63, 0.0993064
4K, End, 64, 0.0992018
4K, End, 65, 0.099322
4K, End, 66, 0.0993162
4K, End, 67, 0.0993198
4K, End, 68, 0.0993278
4K, End, 69, 0.0993407
4K, End, 70, 0.0993182
4K, End, 71, 0.0993598
4K, End, 72, 0.0993268
4K, End, 73, 0.0993347
4K, End, 74, 0.0993136
4K, End, 75, 0.099319
4K, End, 76, 0.0992974
4K, End, 77, 0.0993398
4K, End, 78, 0.0994155
4K, End, 79, 0.0993091
4K, End, 80, 0.0992833
4K, End, 81, 0.0993419
4K, End, 82, 0.0993037
4K, End, 83, 0.0992928
4K, End, 84, 0.0992879
4K, End, 85, 0.0992986
4K, End, 86, 0.0993005
4K, End, 87, 0.099307
4K, End, 88, 0.099278
4K, End, 89, 0.09937
4K, End, 90, 0.0993029
4K, End, 91, 0.099323
4K, End, 92, 0.099306
4K, End, 93, 0.0993201
4K, End, 94, 0.0993106
4K, End, 95, 0.0992992
4K, End, 96, 0.0992936
4K, End, 97, 0.0993039
4K, End, 98, 0.0992924
4K, End, 99, 0.0993122
4K, End, 100, 0.0993317
8K, End, 1, 0.200386
8K, End, 2, 0.2003
8K, End, 3, 0.200195
8K, End, 4, 0.200225
8K, End, 5, 0.200426
8K, End, 6, 0.200321
8K, End, 7, 0.200222
8K, End, 8, 0.200203
8K, End, 9, 0.20024
8K, End, 10, 0.200353
8K, End, 11, 0.200067
8K, End, 12, 0.200115
8K, End, 13, 0.200083
8K, End, 14, 0.200118
8K, End, 15, 0.200167
8K, End, 16, 0.200123
8K, End, 17, 0.200185
8K, End, 18, 0.200224
8K, End, 19, 0.200156
8K, End, 20, 0.200159
8K, End, 21, 0.200174
8K, End, 22, 0.200188
8K, End, 23, 0.200138
8K, End, 24, 0.200141
8K, End, 25, 0.200126
8K, End, 26, 0.200204
8K, End, 27, 0.200324
8K, End, 28, 0.200125
8K, End, 29, 0.200115
8K, End, 30, 0.200156
8K, End, 31, 0.200246
8K, End, 32, 0.200157
8K, End, 33, 0.200148
8K, End, 34, 0.200148
8K, End, 35, 0.200145
8K, End, 36, 0.200175
8K, End, 37, 0.200113
8K, End, 38, 0.200105
8K, End, 39, 0.200289
8K, End, 40, 0.20014
8K, End, 41, 0.200141
8K, End, 42, 0.200151
8K, End, 43, 0.200133
8K, End, 44, 0.200159
8K, End, 45, 0.200121
8K, End, 46, 0.200167
8K, End, 47, 0.200148
8K, End, 48, 0.200124
8K, End, 49, 0.200143
8K, End, 50, 0.200155
8K, End, 51, 0.200147
8K, End, 52, 0.200172
8K, End, 53, 0.200133
8K, End, 54, 0.200117
8K, End, 55, 0.200257
8K, End, 56, 0.200108
8K, End, 57, 0.200128
8K, End, 58, 0.200093
8K, End, 59, 0.200162
8K, End, 60, 0.200114
8K, End, 61, 0.200152
8K, End, 62, 0.200137
8K, End, 63, 0.200103
8K, End, 64, 0.200114
8K, End, 65, 0.200121
8K, End, 66, 0.200165
8K, End, 67, 0.200184
8K, End, 68, 0.200117
8K, End, 69, 0.200147
8K, End, 70, 0.200163
8K, End, 71, 0.200106
8K, End, 72, 0.200124
8K, End, 73, 0.200118
8K, End, 74, 0.20012
8K, End, 75, 0.20035
8K, End, 76, 0.200143
8K, End, 77, 0.200164
8K, End, 78, 0.200107
