JOBID=28556
Size, Index, Time
4K, End, 13, 0.0123293
4K, End, 14, 0.0123446
4K, End, 15, 0.0123417
4K, End, 16, 0.0123106
4K, End, 17, 0.012351
4K, End, 18, 0.0123734
4K, End, 19, 0.0123388
4K, End, 20, 0.0123951
4K, End, 21, 0.0124275
4K, End, 22, 0.0123279
4K, End, 23, 0.0123224
4K, End, 24, 0.0122851
4K, End, 25, 0.012349
4K, End, 26, 0.0123326
4K, End, 27, 0.0123287
4K, End, 28, 0.0122933
4K, End, 29, 0.0123212
4K, End, 30, 0.0123248
4K, End, 31, 0.0124538
4K, End, 32, 0.012308
4K, End, 33, 0.0124467
4K, End, 34, 0.0124615
4K, End, 35, 0.0123422
4K, End, 36, 0.0123138
4K, End, 37, 0.0123919
4K, End, 38, 0.0123168
4K, End, 39, 0.0123121
4K, End, 40, 0.0124173
4K, End, 41, 0.0123704
4K, End, 42, 0.0123647
4K, End, 43, 0.0123356
4K, End, 44, 0.0123648
4K, End, 45, 0.0123549
4K, End, 46, 0.0123536
4K, End, 47, 0.0123558
4K, End, 48, 0.0123414
4K, End, 49, 0.0123346
4K, End, 50, 0.0123742
4K, End, 51, 0.0123082
4K, End, 52, 0.0123295
4K, End, 53, 0.0123106
4K, End, 54, 0.0123834
4K, End, 55, 0.0123122
4K, End, 56, 0.0122796
4K, End, 57, 0.0123667
4K, End, 58, 0.0122941
4K, End, 59, 0.0122972
4K, End, 60, 0.0122957
4K, End, 61, 0.0123438
4K, End, 62, 0.0125268
4K, End, 63, 0.0123721
4K, End, 64, 0.0124918
4K, End, 65, 0.0123534
4K, End, 66, 0.0123242
4K, End, 67, 0.0123325
4K, End, 68, 0.012334
4K, End, 69, 0.0123496
4K, End, 70, 0.012399
4K, End, 71, 0.0123163
4K, End, 72, 0.0123373
4K, End, 73, 0.0123722
4K, End, 74, 0.0123531
4K, End, 75, 0.012332
4K, End, 76, 0.0122947
4K, End, 77, 0.0123459
4K, End, 78, 0.0123197
4K, End, 79, 0.0123159
4K, End, 80, 0.0123251
4K, End, 81, 0.0123322
4K, End, 82, 0.0123288
4K, End, 83, 0.0123249
4K, End, 84, 0.0123792
4K, End, 85, 0.0123402
4K, End, 86, 0.0123933
4K, End, 87, 0.0123559
4K, End, 88, 0.0123345
4K, End, 89, 0.0123173
4K, End, 90, 0.0123442
4K, End, 91, 0.0123367
4K, End, 92, 0.0123263
4K, End, 93, 0.0123076
4K, End, 94, 0.0124248
4K, End, 95, 0.0123452
4K, End, 96, 0.0123463
4K, End, 97, 0.0123718
4K, End, 98, 0.0123255
4K, End, 99, 0.0123338
4K, End, 100, 0.0123322
8K, End, 1, 0.024912
8K, End, 2, 0.0249628
8K, End, 3, 0.0248492
8K, End, 4, 0.0248866
8K, End, 5, 0.0248521
8K, End, 6, 0.0248139
8K, End, 7, 0.02485
8K, End, 8, 0.02488
8K, End, 9, 0.0249221
8K, End, 10, 0.0249545
8K, End, 11, 0.0249734
8K, End, 12, 0.0251115
8K, End, 13, 0.0248287
8K, End, 14, 0.0248309
8K, End, 15, 0.0248614
8K, End, 16, 0.0248318
8K, End, 17, 0.0248362
8K, End, 18, 0.0249153
8K, End, 19, 0.0249555
8K, End, 20, 0.0249485
8K, End, 21, 0.024857
8K, End, 22, 0.0250113
8K, End, 23, 0.0251427
8K, End, 24, 0.0251412
8K, End, 25, 0.0249246
8K, End, 26, 0.0249763
8K, End, 27, 0.0251111
8K, End, 28, 0.0247973
8K, End, 29, 0.024784
8K, End, 30, 0.0247351
8K, End, 31, 0.0248149
8K, End, 32, 0.0248527
8K, End, 33, 0.0248106
8K, End, 34, 0.0249536
8K, End, 35, 0.0248841
8K, End, 36, 0.0248382
8K, End, 37, 0.0248329
8K, End, 38, 0.0249089
8K, End, 39, 0.0248806
8K, End, 40, 0.0249053
8K, End, 41, 0.0249216
8K, End, 42, 0.024915
8K, End, 43, 0.0248767
8K, End, 44, 0.0248665
8K, End, 45, 0.0248997
8K, End, 46, 0.0251766
8K, End, 47, 0.0251777
8K, End, 48, 0.0248755
8K, End, 49, 0.0248199
8K, End, 50, 0.0249097
8K, End, 51, 0.0248447
8K, End, 52, 0.0249189
8K, End, 53, 0.0248405
8K, End, 54, 0.0248873
8K, End, 55, 0.0248587
8K, End, 56, 0.0247852
8K, End, 57, 0.0247716
8K, End, 58, 0.0249402
8K, End, 59, 0.0247899
8K, End, 60, 0.024878
8K, End, 61, 0.0248385
8K, End, 62, 0.0249346
8K, End, 63, 0.02488
8K, End, 64, 0.0248396
8K, End, 65, 0.0248256
8K, End, 66, 0.0249163
8K, End, 67, 0.0248473
8K, End, 68, 0.0248498
8K, End, 69, 0.0248096
8K, End, 70, 0.024789
8K, End, 71, 0.0248215
8K, End, 72, 0.0248952
8K, End, 73, 0.0252431
8K, End, 74, 0.0250361
8K, End, 75, 0.0248223
8K, End, 76, 0.0248885
8K, End, 77, 0.024856
8K, End, 78, 0.0249308
8K, End, 79, 0.0248802
8K, End, 80, 0.0248997
8K, End, 81, 0.0249889
8K, End, 82, 0.0250013
8K, End, 83, 0.0248265
8K, End, 84, 0.024927
8K, End, 85, 0.0249057
8K, End, 86, 0.0249799
8K, End, 87, 0.0249322
8K, End, 88, 0.0248274
8K, End, 89, 0.0248956
8K, End, 90, 0.0249544
8K, End, 91, 0.0249137
8K, End, 92, 0.0249092
8K, End, 93, 0.0248924
8K, End, 94, 0.0249618
8K, End, 95, 0.0249747
8K, End, 96, 0.0249942
8K, End, 97, 0.0249236
8K, End, 98, 0.0249131
8K, End, 99, 0.0248513
8K, End, 100, 0.024953
16K, End, 1, 0.0500293
16K, End, 2, 0.0493625
16K, End, 3, 0.0492099
16K, End, 4, 0.0491456
16K, End, 5, 0.0492553
16K, End, 6, 0.0493587
16K, End, 7, 0.0493332
16K, End, 8, 0.0494074
16K, End, 9, 0.0495758
16K, End, 10, 0.0494479
16K, End, 11, 0.0493277
16K, End, 12, 0.049592
16K, End, 13, 0.049385
16K, End, 14, 0.0493222
16K, End, 15, 0.0495708
16K, End, 16, 0.0493438
16K, End, 17, 0.0494432
16K, End, 18, 0.0494102
16K, End, 19, 0.0496914
16K, End, 20, 0.0494089
16K, End, 21, 0.0494697
16K, End, 22, 0.0493988
16K, End, 23, 0.0494369
16K, End, 24, 0.0493356
16K, End, 25, 0.0492858
16K, End, 26, 0.0494107
16K, End, 27, 0.0495547
16K, End, 28, 0.0493796
16K, End, 29, 0.0493727
16K, End, 30, 0.0494037
16K, End, 31, 0.049501
16K, End, 32, 0.0496158
16K, End, 33, 0.0493668
16K, End, 34, 0.0493715
16K, End, 35, 0.0494225
16K, End, 36, 0.04937
16K, End, 37, 0.0496158
16K, End, 38, 0.0493324
16K, End, 39, 0.0494093
16K, End, 40, 0.0493963
16K, End, 41, 0.0493907
16K, End, 42, 0.0493045
16K, End, 43, 0.0493445
16K, End, 44, 0.0493295
16K, End, 45, 0.0492982
16K, End, 46, 0.0493749
16K, End, 47, 0.0495296
16K, End, 48, 0.0493865
16K, End, 49, 0.0495069
16K, End, 50, 0.0493103
16K, End, 51, 0.0493906
16K, End, 52, 0.0493841
16K, End, 53, 0.0494168
16K, End, 54, 0.0493518
16K, End, 55, 0.0494249
16K, End, 56, 0.049407
16K, End, 57, 0.0494294
16K, End, 58, 0.0493228
16K, End, 59, 0.0493923
16K, End, 60, 0.0494319
16K, End, 61, 0.0493299
16K, End, 62, 0.0493472
16K, End, 63, 0.049704
16K, End, 64, 0.0494095
16K, End, 65, 0.0494351
16K, End, 66, 0.0494257
16K, End, 67, 0.0495567
16K, End, 68, 0.0493415
16K, End, 69, 0.0493921
16K, End, 70, 0.049396
16K, End, 71, 0.0496366
16K, End, 72, 0.0494267
16K, End, 73, 0.0493611
16K, End, 74, 0.049334
16K, End, 75, 0.0494328
16K, End, 76, 0.0494243
16K, End, 77, 0.0494349
16K, End, 78, 0.0493335
16K, End, 79, 0.0493559
16K, End, 80, 0.0492979
16K, End, 81, 0.0492456
16K, End, 82, 0.0494202
16K, End, 83, 0.0495106
16K, End, 84, 0.0493385
16K, End, 85, 0.0493261
16K, End, 86, 0.0492772
16K, End, 87, 0.0494444
16K, End, 88, 0.0496493
16K, End, 89, 0.0493631
16K, End, 90, 0.0493939
16K, End, 91, 0.0494409
16K, End, 92, 0.0493316
16K, End, 93, 0.0493218
16K, End, 94, 0.0492688
16K, End, 95, 0.0494123
16K, End, 96, 0.0494961
16K, End, 97, 0.0493417
16K, End, 98, 0.0493456
16K, End, 99, 0.0493331
16K, End, 100, 0.0496662
32K, End, 1, 0.0988906
32K, End, 2, 0.0988983
32K, End, 3, 0.0988408
32K, End, 4, 0.0986152
32K, End, 5, 0.0995281
32K, End, 6, 0.0986464
32K, End, 7, 0.0989047
32K, End, 8, 0.0987894
32K, End, 9, 0.0990262
32K, End, 10, 0.0988353
32K, End, 11, 0.0991425
32K, End, 12, 0.0988301
32K, End, 13, 0.0988626
32K, End, 14, 0.0987943
32K, End, 15, 0.0988052
32K, End, 16, 0.0988073
32K, End, 17, 0.0992301
32K, End, 18, 0.0986269
32K, End, 19, 0.0990034
32K, End, 20, 0.0989838
32K, End, 21, 0.0989226
32K, End, 22, 0.0989182
32K, End, 23, 0.0988436
32K, End, 24, 0.0986471
32K, End, 25, 0.0989175
32K, End, 26, 0.099141
32K, End, 27, 0.0989811
32K, End, 28, 0.0989021
32K, End, 29, 0.0988212
32K, End, 30, 0.0990687
32K, End, 31, 0.0990852
32K, End, 32, 0.0991837
32K, End, 33, 0.0990013
32K, End, 34, 0.0987697
32K, End, 35, 0.0988871
32K, End, 36, 0.0985261
32K, End, 37, 0.0989824
32K, End, 38, 0.0986436
32K, End, 39, 0.0988406
32K, End, 40, 0.0985824
32K, End, 41, 0.0986862
32K, End, 42, 0.0989101
32K, End, 43, 0.0987569
32K, End, 44, 0.0987844
32K, End, 45, 0.0988862
32K, End, 46, 0.0986928
32K, End, 47, 0.0990868
32K, End, 48, 0.0989577
32K, End, 49, 0.09884
32K, End, 50, 0.0987187
32K, End, 51, 0.0989689
32K, End, 52, 0.0990025
32K, End, 53, 0.0988893
32K, End, 54, 0.0987658
32K, End, 55, 0.099281
32K, End, 56, 0.0988685
