JOBID=28568
Size, Timepoint Index, Time
2K, End, 99, 1.9e-06
2K, End, 100, 1.853e-06
4K, End, 1, 4.25e-06
4K, End, 2, 4.355e-06
4K, End, 3, 4.297e-06
4K, End, 4, 4.083e-06
4K, End, 5, 4.295e-06
4K, End, 6, 4.28e-06
4K, End, 7, 4.212e-06
4K, End, 8, 4.123e-06
4K, End, 9, 4.35e-06
4K, End, 10, 4.163e-06
4K, End, 11, 4.212e-06
4K, End, 12, 4.252e-06
4K, End, 13, 7.267e-06
4K, End, 14, 4.366e-06
4K, End, 15, 4.354e-06
4K, End, 16, 4.205e-06
4K, End, 17, 4.326e-06
4K, End, 18, 4.338e-06
4K, End, 19, 4.437e-06
4K, End, 20, 4.202e-06
4K, End, 21, 4.196e-06
4K, End, 22, 4.132e-06
4K, End, 23, 4.332e-06
4K, End, 24, 4.254e-06
4K, End, 25, 4.339e-06
4K, End, 26, 4.26e-06
4K, End, 27, 4.158e-06
4K, End, 28, 4.128e-06
4K, End, 29, 4.37e-06
4K, End, 30, 4.286e-06
4K, End, 31, 4.233e-06
4K, End, 32, 1.543e-05
4K, End, 33, 3.538e-06
4K, End, 34, 3.36e-06
4K, End, 35, 3.401e-06
4K, End, 36, 3.36e-06
4K, End, 37, 3.362e-06
4K, End, 38, 3.401e-06
4K, End, 39, 3.405e-06
4K, End, 40, 3.431e-06
4K, End, 41, 3.395e-06
4K, End, 42, 3.375e-06
4K, End, 43, 3.441e-06
4K, End, 44, 3.492e-06
4K, End, 45, 3.417e-06
4K, End, 46, 3.432e-06
4K, End, 47, 3.635e-06
4K, End, 48, 3.443e-06
4K, End, 49, 3.383e-06
4K, End, 50, 3.426e-06
4K, End, 51, 3.486e-06
4K, End, 52, 3.335e-06
4K, End, 53, 3.408e-06
4K, End, 54, 3.413e-06
4K, End, 55, 3.544e-06
4K, End, 56, 3.373e-06
4K, End, 57, 3.401e-06
4K, End, 58, 3.342e-06
4K, End, 59, 3.332e-06
4K, End, 60, 3.449e-06
4K, End, 61, 3.312e-06
4K, End, 62, 3.374e-06
4K, End, 63, 3.334e-06
4K, End, 64, 3.347e-06
4K, End, 65, 3.365e-06
4K, End, 66, 3.336e-06
4K, End, 67, 3.319e-06
4K, End, 68, 3.319e-06
4K, End, 69, 3.377e-06
4K, End, 70, 3.364e-06
4K, End, 71, 3.348e-06
4K, End, 72, 3.401e-06
4K, End, 73, 3.346e-06
4K, End, 74, 3.32e-06
4K, End, 75, 3.337e-06
4K, End, 76, 3.419e-06
4K, End, 77, 3.335e-06
4K, End, 78, 3.324e-06
4K, End, 79, 3.412e-06
4K, End, 80, 3.321e-06
4K, End, 81, 3.374e-06
4K, End, 82, 3.389e-06
4K, End, 83, 3.318e-06
4K, End, 84, 3.321e-06
4K, End, 85, 3.316e-06
4K, End, 86, 3.3e-06
4K, End, 87, 3.328e-06
4K, End, 88, 3.392e-06
4K, End, 89, 3.355e-06
4K, End, 90, 3.395e-06
4K, End, 91, 3.351e-06
4K, End, 92, 3.316e-06
4K, End, 93, 3.345e-06
4K, End, 94, 3.344e-06
4K, End, 95, 3.363e-06
4K, End, 96, 3.344e-06
4K, End, 97, 3.367e-06
4K, End, 98, 3.41e-06
4K, End, 99, 3.357e-06
4K, End, 100, 3.357e-06
8K, End, 1, 6.443e-06
8K, End, 2, 6.444e-06
8K, End, 3, 6.462e-06
8K, End, 4, 6.484e-06
8K, End, 5, 6.411e-06
8K, End, 6, 6.633e-06
8K, End, 7, 6.521e-06
8K, End, 8, 6.597e-06
8K, End, 9, 6.549e-06
8K, End, 10, 6.556e-06
8K, End, 11, 6.682e-06
8K, End, 12, 6.609e-06
8K, End, 13, 6.502e-06
8K, End, 14, 6.561e-06
8K, End, 15, 6.454e-06
8K, End, 16, 6.503e-06
8K, End, 17, 6.454e-06
8K, End, 18, 6.469e-06
8K, End, 19, 6.594e-06
8K, End, 20, 6.433e-06
8K, End, 21, 6.665e-06
8K, End, 22, 6.458e-06
8K, End, 23, 6.642e-06
8K, End, 24, 6.413e-06
8K, End, 25, 6.4e-06
8K, End, 26, 6.377e-06
8K, End, 27, 6.378e-06
8K, End, 28, 6.435e-06
8K, End, 29, 6.361e-06
8K, End, 30, 6.45e-06
8K, End, 31, 6.431e-06
8K, End, 32, 6.475e-06
8K, End, 33, 6.371e-06
8K, End, 34, 6.444e-06
8K, End, 35, 6.439e-06
8K, End, 36, 8.29e-06
8K, End, 37, 6.416e-06
8K, End, 38, 6.464e-06
8K, End, 39, 6.357e-06
8K, End, 40, 6.572e-06
8K, End, 41, 6.672e-06
8K, End, 42, 6.525e-06
8K, End, 43, 6.67e-06
